,index,caption,url,Visible,Subjective,Action,Story,Meta,Irrelevant,Other,When,How,Where,Comment
44,6302,view from the southeast - full - height view,https://c1.staticflickr.com/6/5502/31442118035_0bd6c9e846_o.jpg,0,0,0,0,1,0,1,0,1,1,text might be relevant or unimportant in image making no difference to caption
45,2009,an image of a baseball player,http://millcreektourism.com/UserFiles/Servers/Server_9100999/Image/Homepage/Explore%20Mill%20Creek/Sports%20&%20Outdoors/baseball.jpg,1,0,0,0,0,0,0,0,0,0,False
46,4737,a view of the building,https://c1.staticflickr.com/8/7539/26809572526_aae38d237a_o.jpg,1,0,0,0,1,0,0,0,0,1,False
47,0,a very typical bus station,http://lh6.ggpht.com/-IvRtNLNcG8o/TpFyrudaT6I/AAAAAAAAM6o/_11MuAAKalQ/IMG_3422.JPG?imgmax=800,1,0,0,0,0,0,0,0,0,0,False
48,845,actor attends the premiere of film .,https://media.gettyimages.com/photos/actress-jocelin-donahue-attends-the-premiere-of-monterey-medias-film-picture-id470151692?k=6&m=470151692&s=612x612&w=0&h=RcYPKg_CanW05r4JjQBW4CwEbTe9sjDRYz2ojbxBcXs=,1,0,0,0,0,0,0,0,0,0,False
49,4367,every kind of mango to please the palate,https://i.pinimg.com/736x/49/d2/4b/49d24b18f5491ee1cf545b468912bd77--health-foods-health-benefits.jpg,0,0,0,1,0,0,0,0,0,0,False
50,4800,a statue of person in front of the building,https://c1.staticflickr.com/1/496/32431970861_7a29330a57_o.jpg,1,0,0,0,1,0,0,0,1,0,False
51,6671,image may contain person on stage playing a musical instrument and outdoor,https://c1.staticflickr.com/8/7667/27026336376_d70b84fcaa_o.jpg,0,0,0,0,0,1,0,0,0,0,False
52,7302,person in front of a solar eclipse,https://c1.staticflickr.com/8/7197/27408888121_f12d261c22_o.jpg,0,0,0,0,0,1,0,0,0,0,False
53,187,an illustration of hands holding hearts to each other vector art illustration,https://media.istockphoto.com/vectors/an-illustration-of-four-hands-holding-hearts-to-each-other-vector-id466170559?k=6&m=466170559&s=612x612&w=0&h=1cVEDobUwtpoeCGkpMEIOEZrxAUITCl32vp9fI0DWUg=,1,0,0,0,0,0,0,0,0,0,False
54,183,football player pulls a face for the camera during a photo call,https://media.gettyimages.com/photos/tottenham-and-england-player-paul-gascoigne-pulls-a-face-for-the-a-picture-id493905263?s=612x612,1,0,0,0,1,0,0,0,0,0,False
55,6742,digital art selected for the #,https://c1.staticflickr.com/8/7796/27254114864_66b7852f08_o.jpg,0,0,0,0,0,1,0,0,0,0,False
56,2827,wild mushrooms amongst the undergrowth .,https://image.shutterstock.com/z/stock-photo-wild-mushrooms-amongst-the-undergrowth-in-australia-138766886.jpg,1,0,0,0,0,0,0,0,0,0,False
57,80,the water was never deeper than your chest .,https://acanadianincambodia.files.wordpress.com/2015/10/preah-vihear-day-4-052.jpg,0,1,0,0,0,0,0,0,0,0,False
58,721,happy father and son smiling at each other,https://static.lgamerica.com/assets/images/content/stock-images/dad-son-2x.jpg,1,0,1,0,0,0,0,0,0,0,False
59,279,happy cat in a hat holding a glass of wine and peeking from behind empty board .,https://image.shutterstock.com/z/stock-photo-happy-cat-in-a-hat-holding-a-glass-of-wine-and-peeking-from-behind-empty-board-isolated-on-white-476310487.jpg,1,0,0,0,0,0,0,0,0,0,False
60,5262,image of a man sitting at a laptop,https://c1.staticflickr.com/6/5589/29510321894_87b13b2a93_o.jpg,0,0,1,0,0,0,0,0,0,0,False
61,7044,digital art selected for the #,https://c1.staticflickr.com/6/5560/31449790456_fbf22a461a_o.jpg,0,0,0,0,0,1,0,0,0,0,False
62,5140,the ruins of the palace .,https://c1.staticflickr.com/8/7680/27051588344_4b565003ed_o.jpg,1,0,0,0,1,0,0,0,1,0,False
63,3884,the home boasts views to the city .,http://cdn.newsapi.com.au/image/v1/4e5607f187ddff255ccde991e93ac4a7,0,0,0,1,0,0,0,0,0,0,False
64,5385,image may contain person riding on a horse and outdoor,https://c1.staticflickr.com/3/2688/32690258091_7669f1f320_o.jpg,1,0,1,0,1,0,0,0,1,1,False
65,3939,"boxer , right , reached the final of the lightweight category",https://www.insidethegames.biz/media/image/65796/o/Thapa.jpg,0,0,0,1,0,0,0,0,0,0,False
66,4770,the group of students on the tree in the park,https://c1.staticflickr.com/8/7115/27189478923_2c6c685d1f_o.jpg,0,0,0,0,0,0,1,0,0,0,not correct? but not necessarily irrelevant 
67,5338,golf course in the early morning,https://c1.staticflickr.com/6/5717/30566153141_dbf0f942a3_o.jpg,0,0,0,0,1,0,1,1,1,0,caption relation a little odd but I guess it could work? 
68,4348,map showing the track taken by person .,https://images.thewest.com.au/publication/B88431039Z/GPSVDFT2.1-1.jpg?imwidth=1024,0,0,0,0,0,0,1,0,0,0,text
69,5117,the main entrance to the temple,https://c1.staticflickr.com/6/5781/30648182021_4daa4a3ecb_o.jpg,1,0,0,0,1,0,0,0,1,0,False
70,6039,a trail through the woods,https://c1.staticflickr.com/9/8836/28572398436_8059d02511_o.jpg,1,0,0,0,1,0,0,0,1,0,False
71,2018,mushrooms are a food which contain several health benefits to our body .,https://i.pinimg.com/736x/90/ab/2b/90ab2b39eeea9f472c8a904657fb2607--benefits-of-health-benefits.jpg,0,0,0,1,0,0,0,0,0,0,False
72,1377,actor and celebrity attends a premiere during festival,https://media.gettyimages.com/photos/actor-johnny-depp-and-amber-heard-attends-a-premiere-for-black-mass-picture-id535015628?s=612x612,1,0,0,1,0,0,0,0,0,0,False
73,3337,actor arrives at the screening,https://media.gettyimages.com/photos/actor-jeff-bridges-arrives-at-the-screening-of-cbs-films-hell-or-high-picture-id612103082?s=612x612,0,0,1,0,1,0,0,0,1,0,False
74,3111,abstract geometric border of leaves and flowers on a yellow background,https://thumb9.shutterstock.com/display_pic_with_logo/3154298/531230032/stock-vector-abstract-geometric-border-of-leaves-and-flowers-on-a-yellow-background-531230032.jpg,1,0,0,0,0,0,0,0,0,0,False
75,5958,biological species in the spring,https://c1.staticflickr.com/6/5626/30396538991_f195f09fe6_o.jpg,1,0,0,0,1,0,0,1,0,0,False
76,5582,how to make an envelope out of wrapping paper,https://c1.staticflickr.com/6/5624/30600707852_576a5a201e_o.jpg,0,0,0,0,0,1,0,0,0,0,False
77,6429,the trail in the forest,https://c1.staticflickr.com/6/5267/29957084475_fb60160ee0_o.jpg,1,0,0,0,1,0,0,0,1,0,False
78,1435,"it might be small , but this pump works with gallons of water .",https://images-na.ssl-images-amazon.com/images/I/61M-BdaOpxL._SL1000_.jpg,0,0,0,1,0,0,0,0,0,0,False
79,1091,a long exposure on an overcast day at a beach,https://static1.squarespace.com/static/551c0102e4b0440bd845ec0c/5528924ae4b0f229a0dedfe6/55a29a61e4b03e81883b5919/1436719715208/DGPstock-landscapes-105.jpg?format=500w,1,0,0,0,1,0,0,0,0,0,False
80,1687,knife on a white background,http://l7.alamy.com/zooms/6bd707996bf84ea0b3a79bfd04fbc538/big-nepal-knife-on-a-white-background-c4km6j.jpg,1,0,0,0,0,0,0,0,0,0,False
81,4212,on the left in front of a crowd of soldiers,https://media.gettyimages.com/photos/october-1918-on-the-left-harry-lauder-at-washington-inn-in-front-of-a-picture-id3137857?s=612x612,1,0,0,0,0,0,0,0,0,0,False
82,6540,view of the lake,https://c1.staticflickr.com/8/7605/26950213563_4faab67c54_o.jpg,1,0,0,0,1,0,0,0,0,1,False
83,303,rhythm and blues artist and singer attend the premiere .,https://media.gettyimages.com/photos/james-brown-ii-and-tomi-rae-brown-attend-the-get-on-up-premiere-at-picture-id452500234,1,0,0,0,0,0,0,0,0,0,False
84,7115,a general view of atmosphere at the after party for the premiere,https://c1.staticflickr.com/9/8856/28242690713_64b534899d_o.jpg,0,0,0,0,0,1,0,0,0,0,False
85,170,person on the movie scenes,https://alchetron.com/cdn/The-Men-Who-Tread-on-the-Tigers-Tail-images-bfb7bd65-5d88-4c45-a5af-c86be7c3d46.jpg,0,0,0,1,0,0,0,0,0,0,False
86,6903,interior of the church of person,https://c1.staticflickr.com/6/5736/31164319452_307bc9751f_o.jpg,1,0,0,0,1,0,0,0,1,0,False
87,5767,sunset admire the beauty of creations,https://c1.staticflickr.com/9/8736/28207731800_0352b66db2_o.jpg,0,0,0,1,0,0,0,0,0,0,False
88,4149,film director attends premiere during festival,https://media.gettyimages.com/photos/director-antonio-campos-attends-the-sinner-premiere-during-2017-film-picture-id673102058?s=612x612,1,0,1,0,1,0,0,1,0,0,False
89,7731,detail of an old building,https://c1.staticflickr.com/8/7296/28023510276_275d32c983_o.jpg,1,0,0,0,1,0,0,0,1,0,False
90,156,latin pop artist performs live in concert,https://static9.imagecollect.com/preview/2036/f7fc9a660b98664,1,0,0,0,0,0,0,0,0,0,False
91,5971,a photo of a robot .,https://c1.staticflickr.com/9/8829/28592535416_27916c7852_o.jpg,1,0,0,0,0,0,0,0,0,0,False
92,4641,plastic bottles on the beach,https://c1.staticflickr.com/8/7260/26754568354_2f04871c8c_o.jpg,0,0,0,0,0,1,0,0,0,0,False
93,1710,sunset and silhouette of the birds on tree,https://ak9.picdn.net/shutterstock/videos/4994039/thumb/1.jpg?i10c=img.resize(height:160),1,0,0,0,0,0,0,0,0,0,False
94,71,ask owner for photos of the car,https://www.carsdir.com/carsphotos/chevrolet-corvette-1966-211995-1.jpg,0,0,0,0,0,0,1,0,0,0,not sure how to mark the relation behind a request and image
95,684,seals fighting for a spot to sleep on the rocks,https://ak0.picdn.net/shutterstock/videos/1603210/thumb/1.jpg,0,1,1,0,0,0,0,0,0,0,False
96,1638,the new supercars of action film,https://ymimg1.b8cdn.com/uploads/article/751/pictures/58888/bumblebees-new-chevrolet-camaro-concept-on-the-set-of-transformers-4-movie_100432147_l.jpg,0,0,0,1,0,0,0,0,0,0,False
97,5374,marble bust of a young woman,https://c1.staticflickr.com/6/5560/30692005621_b070f3be0f_o.jpg,0,0,0,0,0,1,1,0,0,0,weird but close
98,989,"c than to wear a green skirt , photo",http://www.nmcisymposium.com/images/moda-i-stil/zelenoe-plate-ili-zelenaya-yubka-chto-nosit-v-pare_22.jpg,0,0,0,0,0,1,0,0,0,0,caption incomplete
99,2537,hand drawn illustration of a cityscape .,https://thumb7.shutterstock.com/display_pic_with_logo/524620/184440695/stock-vector-hand-drawn-illustration-of-a-cityscape-vector-background-184440695.jpg,1,0,0,0,1,0,0,0,1,1,False
100,3328,a lamppost in the fog on person on person .,https://i.pinimg.com/736x/98/d1/78/98d178f01ac28a6ffa81d5516d13c210--the-fog-strand.jpg,0,0,0,0,0,1,0,0,0,0,False
101,3073,picture of the day : frosty morning,http://www.bournemouthecho.co.uk/resources/images/5790042.jpg?display=1&htype=0&type=responsive-gallery,1,0,0,1,1,0,0,1,0,0,False
102,3189,ice hockey right winger warms up before the game against sports team,https://media.gettyimages.com/photos/sep-2010-flyers-forward-danny-briere-warms-up-before-the-flyers-game-picture-id577809668?s=612x612,1,0,1,0,1,0,0,1,1,0,False
103,7014,large detailed political and administrative map with all cities roads and airports,https://c1.staticflickr.com/9/8562/28132746644_e15c80316e_o.jpg,1,1,0,1,0,0,0,0,0,0,False
104,1992,bauble above a wreath made of twigs and illuminated,http://l7.alamy.com/zooms/fbb4f1ded4bd4cf7a60732d2a496ec7f/red-christmas-bauble-above-a-wreath-made-of-twigs-and-illuminated-fbc08w.jpg,1,0,0,0,0,0,0,0,0,0,False
105,7076,type of place of worship of artwork,https://c1.staticflickr.com/1/775/31604597170_35080e9b53_o.jpg,0,0,0,1,0,0,0,0,0,0,False
106,2674,summer time spending on a green field of dandelions and roses with butterflies and dragonflies flying among flowers,https://us.123rf.com/450wm/natavlada/natavlada1305/natavlada130500006/19759054-summer-time-spending-on-a-green-field-of-dandelions-and-roses-with-butterflies-and-dragonflies-flyin.jpg?ver=6,1,0,0,0,1,0,0,1,1,0,False
107,3943,film director poses on the red carpet for awards held,https://media.gettyimages.com/photos/albert-serra-poses-on-the-red-carpet-for-the-gaudi-awards-2016-held-picture-id633049434?s=612x612,1,0,1,0,0,0,0,0,0,0,False
108,2138,artist turned plenty of heads with his knee - length embroidered jacket at the premiere .,https://pmcvariety.files.wordpress.com/2016/08/jared-leto-v.jpg?w=700,0,0,0,1,1,0,0,0,0,0,False
109,7253,pancakes with berries and blueberries on a wooden table,https://c1.staticflickr.com/8/7631/26484257994_d5b987236e_o.jpg,1,0,0,0,0,0,0,0,0,0,False
110,7523,original fine art by person,https://c1.staticflickr.com/1/600/31113351353_3446da199b_o.jpg,1,0,0,1,0,0,0,0,0,0,False
111,6168,close up of the flowers,https://c1.staticflickr.com/6/5681/30651804011_a2d87b9929_o.jpg,1,0,0,0,1,0,0,0,0,1,False
112,2911,seamless pattern of illustrations of the butterfly and heart,https://thumb1.shutterstock.com/display_pic_with_logo/161069056/776023273/stock-vector-seamless-pattern-of-illustrations-of-the-butterfly-and-heart-776023273.jpg,1,0,0,0,0,0,0,0,0,0,False
113,3128,actor bundled up in this fur - trim coat while running errands .,https://i.pinimg.com/736x/68/f2/63/68f2638c923318717a434c47ff8929ab--cameron-diaz-style-cameron-diaz-outfit.jpg,1,0,0,0,0,0,0,0,0,0,False
114,3547,"a plantation of young trees for woodland , flowering wild cherries and others , in protective plastic tubes in springtime",http://c8.alamy.com/comp/KJA0DA/a-plantation-of-young-trees-for-woodland-flowering-wild-cherries-and-KJA0DA.jpg,0,0,0,0,0,0,1,0,0,0,text
115,200,pair of hands holding our planet with icons on a white background,https://thumb7.shutterstock.com/display_pic_with_logo/1813235/391901494/stock-vector-pair-of-hands-holding-our-planet-with-icons-on-a-white-background-391901494.jpg,1,0,0,0,0,0,0,0,0,0,False
116,7216,a city for sale property,https://c1.staticflickr.com/9/8644/28374001885_a549ecae55_o.jpg,0,0,0,1,0,0,0,0,0,0,False
117,2524,"fried eggs on the black pan , simple top view",http://c8.alamy.com/comp/KT18KR/two-fried-eggs-on-the-black-pan-simple-top-view-KT18KR.jpg,1,0,0,0,1,0,0,0,0,1,False
118,5256,property image # near town and beach,https://c1.staticflickr.com/4/3793/33084468691_5dd841ab55_o.jpg,0,0,0,1,1,0,0,0,1,0,False
119,5514,marble bust of a woman,https://c1.staticflickr.com/6/5560/30692005621_b070f3be0f_o.jpg,0,0,0,0,0,1,1,0,0,0,weird but close
120,7423,a city in the winter,https://c1.staticflickr.com/9/8146/29249197081_016ec26cb9_o.jpg,1,0,0,0,1,0,0,1,1,0,False
121,4741,a bottle of water on the beach,https://c1.staticflickr.com/9/8146/29497336912_0fa0ef2527_o.jpg,1,0,0,0,1,0,0,0,1,0,False
122,7091,a soldier stands guard in front of a military vehicle,https://c1.staticflickr.com/8/7626/27036500523_7392cbcf4a_o.jpg,1,0,0,0,0,0,0,0,0,0,False
123,4638,a person holding a smartphone at the event,https://c1.staticflickr.com/9/8457/29856766956_89a1711221_o.jpg,1,0,1,0,1,0,0,0,1,0,False
124,5676,a sign is posted on the exterior of headquarters,https://c1.staticflickr.com/9/8527/30040440055_b31de36fe4_o.jpg,0,0,0,0,0,0,1,0,0,0,text
125,7401,the home of person and his family,https://c1.staticflickr.com/9/8605/28415039745_7fae10e2f1_o.jpg,1,0,0,1,1,0,0,0,1,0,False
126,2657,cartoon cute vector hand drawn doodles hair salon corporate identity set .,https://thumb9.shutterstock.com/display_pic_with_logo/235588/543287386/stock-vector-cartoon-cute-vector-hand-drawn-doodles-hair-salon-corporate-identity-set-templates-design-of-543287386.jpg,1,0,0,0,0,0,1,0,0,0,text
127,1597,cat in a glass of milk .,https://i.pinimg.com/736x/da/bd/b6/dabdb69786945a7f9e00ae269ca28318--milk-bath-pots.jpg,1,0,0,0,0,0,0,0,0,0,False
128,7211,tourist attraction is one of the most popular tourist attractions,https://c1.staticflickr.com/8/7744/28310807194_bcd3667364_o.jpg,0,0,0,1,0,0,0,0,0,0,False
129,6637,view of the christmas tree on the beach,https://c1.staticflickr.com/1/688/32525848780_04aeb269e8_o.jpg,1,0,0,0,1,0,1,0,1,1,text 
130,6775,close up of the grapes on the vine,https://c1.staticflickr.com/9/8251/29386740026_20c04a220e_o.jpg,1,0,0,0,1,0,0,0,0,1,False
131,6497,christmas lights in the lobby,https://c1.staticflickr.com/8/7296/27294504212_db754a391a_o.jpg,0,0,0,0,0,1,0,0,0,0,False
132,5414,parts of a plant photo #,https://c1.staticflickr.com/6/5571/31210936432_575dc9f541_o.jpg,0,0,0,0,0,0,1,0,0,0,text
133,1323,reflection in the rearview mirror of a car,http://l7.alamy.com/zooms/4cd22af77820471799e9fe7fc6334aee/reflection-in-the-rearview-mirror-of-a-car-er2g69.jpg,1,0,0,0,0,0,0,0,0,0,False
134,529,automobile model in the rally,http://c8.alamy.com/comp/DH5YPP/alfa-romeo-gta-in-the-corsica-rally-1965-DH5YPP.jpg,0,0,0,1,0,0,0,0,0,0,False
135,4230,journalists and other people hold up pens and hold signs that say during a vigil .,http://cdn.cnn.com/cnnnext/dam/assets/150109134517-01-reaction-paris-0109---restricted-super-169.jpg,0,0,0,0,0,0,1,0,0,0,text
136,4182,autumn leaf above tourist attraction,http://c759846.r46.cf2.rackcdn.com/gallery/2011/06/93501_1330075096_leafavon.jpg,1,0,0,0,1,0,0,0,1,0,False
137,7049,botanical illustration of biological genus,https://c1.staticflickr.com/6/5779/30834392530_6e32ca7df7_o.jpg,1,0,0,0,0,0,1,0,0,0,text but relevant
138,1995,a general view of racing,https://media.gettyimages.com/photos/general-view-of-greyhounds-racing-at-coral-romford-greyhound-stadium-picture-id456912936?s=612x612,1,0,0,0,0,0,0,0,0,0,False
139,7137,property image # villa on the sea with unique views and a city,https://c1.staticflickr.com/8/7419/27497592123_19ba171451_o.jpg,1,1,0,1,0,0,0,0,0,0,False
140,227,a palm tree with flowers in tropical country,http://c8.alamy.com/comp/HDGJ6D/a-palm-tree-with-flowers-in-tropical-country-HDGJ6D.jpg,1,0,0,0,0,0,0,0,0,0,False
141,4930,street art in the streets,https://c1.staticflickr.com/1/257/32358275006_c6daa12b41_o.jpg,1,0,0,0,1,0,0,0,1,0,False
142,3918,celebrity and heavy metal artist .,http://c8.alamy.com/comp/JXN88A/kelly-osbourne-and-ozzy-osbourne-the-osbournes-go-to-barneys-of-new-JXN88A.jpg,0,0,0,0,0,0,1,0,0,0,text
143,3905,person sharing a joke with best man,https://www.chris-seddon.co.uk/wp-content/uploads/2015/11/20-3560-post/blackbrook-house-wedding-photography-1018(pp_w768_h511).jpg,1,0,1,0,0,0,0,0,0,0,False
144,4882,a view of the building,https://c1.staticflickr.com/8/7111/26773990651_0872da8f88_o.jpg,1,0,0,0,1,0,0,0,0,1,False
145,304,a simple lizard done in a woodcut style .,https://image.shutterstock.com/z/stock-vector-a-simple-lizard-done-in-a-woodcut-style-29040436.jpg,0,1,0,0,0,0,0,0,0,0,False
146,5999,construction of an old house,https://c1.staticflickr.com/8/7522/28905917174_592e131609_o.jpg,1,0,0,0,0,0,0,0,0,0,False
147,5501,the facade of the hotel,https://c1.staticflickr.com/8/7722/26987093733_8c5bcbf121_o.jpg,1,0,0,0,0,0,0,0,0,0,False
148,3248,a football team in a huddle getting hyped in slow motion,https://ak3.picdn.net/shutterstock/videos/12561803/thumb/12.jpg?i10c=img.resize(height:160),1,0,1,0,1,0,0,0,0,1,False
149,7358,the climb to the top,https://c1.staticflickr.com/9/8334/29707061261_854c10267f_o.jpg,1,0,0,1,0,0,0,0,0,0,False
150,7328,a map of the world,https://c1.staticflickr.com/6/5793/29365520584_36b56446cc_o.jpg,0,0,0,0,0,1,0,0,0,0,False
151,1246,workmen place a canvas over the hole between 78th and 79th floors .,http://l7.alamy.com/zooms/755d0b08b5e74a8e96ac3c95be85b406/workmen-place-a-canvas-over-the-hole-between-78th-and-79th-floors-eg6t1e.jpg,0,0,0,1,0,0,0,0,0,0,False
